Year,Id,Name,Sequence,Photo,Speech,Great_Speech,Label,Note
1985,58,Ronald Reagan,40,40.jpeg,1,0,s Second Inaugural Address,Sunday ceremony at White House
1989,59,George H. W. Bush,41,41.jpeg,1,0,s Inaugural Address,"Called inauguration ""Democracy's Big Day"""""
1993,60,Bill Clinton,42,42.jpeg,1,0,s First Inaugural Address,First president to attend inaugural morning services at a predominantly African American church.
1997,61,Bill Clinton,42,42.jpeg,1,0,s Second Inaugural Address,First inauguration broadcast live over Internet
2001,62,George W. Bush,43,43.jpeg,1,0,s First Inaugural Address,Father George bcame first former president to personally witness the inauguration of his son
2005,63,George W. Bush,43,43.jpeg,1,0,s Second Inaugural Address,First time a protest took place during the inaugural oath
2009,64,Barack Obama,44,44.jpeg,1,0,s First Inaugural Address,First inauguration of an African American preident; largest attendance
2013,65,Barack Obama,44,44.jpeg,1,0,s Second Inaugural Address,Oath of office misstated & administered next day
2017,66,Donald J. Trump,45,45.jpeg,1,0,s Inaugural Address,"\""Together, we will make America great again.\"""
2021,67,Joseph R. Biden,46,46.jpeg,1,0,s Inaugural Address,"Oldest President at inauguration; First female Vice President, Kamala Harris."
